Type;Days for shipping (real);Days for shipment (scheduled);Benefit per order;Sales per customer;Delivery Status;Late_delivery_risk;Category Id;Category Name;Customer City;Customer Country;Customer Email;Customer Fname;Customer Id;Customer Lname;Customer Password;Customer Segment;Customer State;Customer Street;Customer Zipcode;Department Id;Department Name;Latitude;Longitude;Market;Order City;Order Country;Order Customer Id;order date (DateOrders);Order Id;Order Item Cardprod Id;Order Item Discount;Order Item Discount Rate;Order Item Id;Order Item Product Price;Order Item Profit Ratio;Order Item Quantity;Sales;Order Item Total;Order Profit Per Order;Order Region;Order State;Order Status;Order Zipcode;Product Card Id;Product Category Id;Product Description;Product Image;Product Name;Product Price;Product Status;shipping date (DateOrders);Shipping Mode
DEBIT;6;4;3.513.999.939;1.039.499.969;Late delivery;1;7;Hockey;Chicago;EE. UU.;XXXXXXXXX;Ann;7103;Smith;XXXXXXXXX;Consumer;IL;5808 Silver Rise Circuit;60644;2;Fitness;4.189.505.005;-8.777.068.329;LATAM;Avellaneda;Argentina;7103;1/30/2017 7:20;52085;135;6.050.000.191;0.059999999;130134;22;0.340000004;5;110;1.039.499.969;3.513.999.939;South America;Santa Fe;ON_HOLD;;135;7;;http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack;Nike Dri-FIT Crew Sock 6 Pack;22;0;2/5/2017 07:20;Standard Class
TRANSFER;4;2;1.755.999.947;6.270.000.076;Late delivery;1;7;Hockey;Philadelphia;EE. UU.;XXXXXXXXX;Mary;5875;Rodgers;XXXXXXXXX;Corporate;PA;654 Gentle Acres;19143;2;Fitness;3.994.662.857;-7.521.822.357;LATAM;San Rafael;Argentina;5875;5/12/2015 20:18;9033;135;3.299.999.952;0.050000001;22522;22;0.280000001;3;66;6.270.000.076;1.755.999.947;South America;Mendoza;PROCESSING;;135;7;;http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack;Nike Dri-FIT Crew Sock 6 Pack;22;0;5/16/2015 20:18;Second Class
PAYMENT;3;4;34.5;75;Advance shipping;0;7;Hockey;Freeport;EE. UU.;XXXXXXXXX;Joyce;4452;Lopez;XXXXXXXXX;Consumer;NY;3243 Shady Corner;11520;2;Fitness;4.065.486.527;-7.358.707.428;LATAM;Mendoza;Argentina;4452;1/30/2017 23:48;52132;134;25;0.25;130244;25;0.460000008;4;100;75;34.5;South America;Mendoza;PENDING_PAYMENT;;134;7;;http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt;Nike Women's Legend V-Neck T-Shirt;25;0;2/2/2017 23:48;Standard Class
PAYMENT;6;4;36.75;9.798.999.786;Late delivery;1;9;Cardio Equipment;Caguas;Puerto Rico;XXXXXXXXX;Diana;10067;Williams;XXXXXXXXX;Home Office;PR;9695 Bright Path;725;3;Footwear;1.821.630.096;-6.637.055.206;LATAM;Santa Fe;Argentina;10067;3/13/2015 0:04;4865;191;2;0.02;12179;9.998.999.786;0.379999995;1;9.998.999.786;9.798.999.786;36.75;South America;Santa Fe;PAYMENT_REVIEW;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;3/19/2015 0:04;Standard Class
PAYMENT;6;4;-85.5;379.980.011;Late delivery;1;45;Fishing;Caguas;Puerto Rico;XXXXXXXXX;Diana;10067;Williams;XXXXXXXXX;Home Office;PR;9695 Bright Path;725;7;Fan Shop;1.821.630.096;-6.637.055.206;LATAM;Santa Fe;Argentina;10067;3/13/2015 0:04;4865;1004;20;0.050000001;12177;399.980.011;-0.230000004;1;399.980.011;379.980.011;-85.5;South America;Santa Fe;PAYMENT_REVIEW;;1004;45;;http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe;Field & Stream Sportsman 16 Gun Fire Safe;399.980.011;0;3/19/2015 0:04;Standard Class
PAYMENT;3;4;8.109.999.657;1.286.900.024;Advance shipping;0;18;Men's Footwear;Caguas;Puerto Rico;XXXXXXXXX;Timothy;8602;Gilbert;XXXXXXXXX;Home Office;PR;469 Middle Berry Abbey;725;4;Apparel;1.829.161.835;-6.637.057.495;LATAM;San Justo;Argentina;8602;1/22/2017 23:07;51582;403;1.299.999.952;0.01;128897;1.299.900.055;0.059999999;1;1.299.900.055;1.286.900.024;8.109.999.657;South America;Santa Fe;PENDING_PAYMENT;;403;18;;http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat;Nike Men's CJ Elite 2 TD Football Cleat;1.299.900.055;0;1/25/2017 23:07;Standard Class
PAYMENT;2;4;5.740.000.153;1.247.900.009;Advance shipping;0;18;Men's Footwear;Caguas;Puerto Rico;XXXXXXXXX;Alexander;92;Medina;XXXXXXXXX;Home Office;PR;2805 Dewy Impasse;725;4;Apparel;1.822.757.149;-6.604.355.621;LATAM;Buenos Aires;Argentina;92;5/27/2017 21:43;60141;403;5.199.999.809;0.039999999;150509;1.299.900.055;0.460000008;1;1.299.900.055;1.247.900.009;5.740.000.153;South America;Buenos Aires;PENDING_PAYMENT;;403;18;;http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat;Nike Men's CJ Elite 2 TD Football Cleat;1.299.900.055;0;5/29/2017 21:43;Standard Class
PAYMENT;4;4;-3.75;5.279.000.092;Shipping on time;0;17;Cleats;Manati;Puerto Rico;XXXXXXXXX;Roy;11522;Smith;XXXXXXXXX;Home Office;PR;9202 Clear Highway;674;4;Apparel;1.843.013.001;-6.648.731.232;LATAM;San Justo;Argentina;11522;6/1/2017 16:17;60468;365;7.199.999.809;0.119999997;151316;5.999.000.168;-0.07;1;5.999.000.168;5.279.000.092;-3.75;South America;Santa Fe;PENDING_PAYMENT;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;6/5/2017 16:17;Standard Class
PAYMENT;4;4;1.117.000.008;293.980.011;Shipping on time;0;43;Camping & Hiking;Caguas;Puerto Rico;XXXXXXXXX;Mary;10492;Smith;XXXXXXXXX;Home Office;PR;866 Burning Street;725;7;Fan Shop;1.829.597.855;-6.637.055.206;LATAM;San Juan;Argentina;10492;2/19/2017 13:37;53473;957;6;0.02;133616;299.980.011;0.039999999;1;299.980.011;293.980.011;1.117.000.008;South America;San Juan;PENDING_PAYMENT;;957;43;;http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014;Diamondback Women's Serene Classic Comfort Bi;299.980.011;0;2/23/2017 13:37;Standard Class
DEBIT;5;2;9.260.000.229;1.234.899.979;Late delivery;1;18;Men's Footwear;Caguas;Puerto Rico;XXXXXXXXX;Elizabeth;4490;Smith;XXXXXXXXX;Consumer;PR;6317 Golden Bear Dell;725;4;Apparel;1.820.479.202;-6.637.050.629;LATAM;Buenos Aires;Argentina;4490;4/30/2017 15:37;58274;403;6.5;0.050000001;145817;1.299.900.055;0.079999998;1;1.299.900.055;1.234.899.979;9.260.000.229;South America;Buenos Aires;COMPLETE;;403;18;;http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat;Nike Men's CJ Elite 2 TD Football Cleat;1.299.900.055;0;5/5/2017 15:37;Second Class
DEBIT;6;2;1.654.299.927;351.980.011;Late delivery;1;45;Fishing;Caguas;Puerto Rico;XXXXXXXXX;Ann;10434;Smith;XXXXXXXXX;Consumer;PR;4149 Thunder Goose Wynd;725;7;Fan Shop;1.827.954.674;-6.637.054.443;LATAM;Buenos Aires;Argentina;10434;4/18/2015 11:56;7365;1004;48;0.119999997;18443;399.980.011;0.469999999;1;399.980.011;351.980.011;1.654.299.927;South America;Buenos Aires;COMPLETE;;1004;45;;http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe;Field & Stream Sportsman 16 Gun Fire Safe;399.980.011;0;4/24/2015 11:56;Second Class
DEBIT;5;2;8.929.000.092;2.459.799.957;Late delivery;1;43;Camping & Hiking;Caguas;Puerto Rico;XXXXXXXXX;Elizabeth;4490;Smith;XXXXXXXXX;Consumer;PR;6317 Golden Bear Dell;725;7;Fan Shop;1.820.479.202;-6.637.050.629;LATAM;Buenos Aires;Argentina;4490;4/30/2017 15:37;58274;957;54;0.180000007;145818;299.980.011;0.360000014;1;299.980.011;2.459.799.957;8.929.000.092;South America;Buenos Aires;COMPLETE;;957;43;;http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014;Diamondback Women's Serene Classic Comfort Bi;299.980.011;0;5/5/2017 15:37;Second Class
CASH;2;1;1.543.000.031;42.5;Late delivery;1;24;Women's Apparel;Caguas;Puerto Rico;XXXXXXXXX;Donna;9327;Smith;XXXXXXXXX;Corporate;PR;4114 Clear Nectar Isle;725;5;Golf;1.820.042.229;-6.637.059.021;LATAM;Paraná;Argentina;9327;3/17/2017 12:32;55251;502;7.5;0.150000006;138173;50;0.360000014;1;50;42.5;1.543.000.031;South America;Entre Ríos;CLOSED;;502;24;;http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo;Nike Men's Dri-FIT Victory Golf Polo;50;0;3/19/2017 12:32;First Class
CASH;2;1;1.017.000.008;8.998.999.786;Late delivery;1;17;Cleats;Caguas;Puerto Rico;XXXXXXXXX;Mary;770;Dudley;XXXXXXXXX;Corporate;PR;3836 Blue Brook Stead;725;4;Apparel;182.275.734;-6.604.371.643;LATAM;San Nicolás de los Arroyos;Argentina;770;2/5/2015 23:56;2467;365;30;0.25;6163;5.999.000.168;0.109999999;2;1.199.800.034;8.998.999.786;1.017.000.008;South America;Buenos Aires (provincia);CLOSED;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;2/7/2015 23:56;First Class
CASH;2;1;3.429.999.924;98;Late delivery;1;24;Women's Apparel;Caguas;Puerto Rico;XXXXXXXXX;Susan;8368;Smith;XXXXXXXXX;Corporate;PR;6223 Cotton Forest Estates;725;5;Golf;182.792.511;-6.637.059.021;LATAM;Buenos Aires;Argentina;8368;5/7/2015 11:44;8666;502;2;0.02;21636;50;0.349999994;2;100;98;3.429.999.924;South America;Buenos Aires;CLOSED;;502;24;;http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo;Nike Men's Dri-FIT Victory Golf Polo;50;0;5/9/2015 11:44;First Class
CASH;2;1;5.670.000.076;7.558.000.183;Late delivery;1;29;Shop By Sport;Caguas;Puerto Rico;XXXXXXXXX;Donna;9327;Smith;XXXXXXXXX;Corporate;PR;4114 Clear Nectar Isle;725;5;Golf;1.820.042.229;-6.637.059.021;LATAM;Paraná;Argentina;9327;3/17/2017 12:32;55251;627;4.400.000.095;0.059999999;138172;3.999.000.168;0.079999998;2;7.998.000.336;7.558.000.183;5.670.000.076;South America;Entre Ríos;CLOSED;;627;29;;http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe;Under Armour Girls' Toddler Spine Surge Runni;3.999.000.168;0;3/19/2017 12:32;First Class
CASH;2;1;9.554.000.092;2.729.700.012;Late delivery;1;9;Cardio Equipment;Caguas;Puerto Rico;XXXXXXXXX;Donna;9327;Smith;XXXXXXXXX;Corporate;PR;4114 Clear Nectar Isle;725;3;Footwear;1.820.042.229;-6.637.059.021;LATAM;Paraná;Argentina;9327;3/17/2017 12:32;55251;191;27;0.090000004;138171;9.998.999.786;0.349999994;3;2.999.700.012;2.729.700.012;9.554.000.092;South America;Entre Ríos;CLOSED;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;3/19/2017 12:32;First Class
CASH;2;1;9.448.999.786;4.724.500.122;Late delivery;1;9;Cardio Equipment;Caguas;Puerto Rico;XXXXXXXXX;Susan;8368;Smith;XXXXXXXXX;Corporate;PR;6223 Cotton Forest Estates;725;3;Footwear;182.792.511;-6.637.059.021;LATAM;Buenos Aires;Argentina;8368;5/7/2015 11:44;8666;191;27.5;0.059999999;21638;9.998.999.786;0.200000003;5;4.999.500.122;4.724.500.122;9.448.999.786;South America;Buenos Aires;CLOSED;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;5/9/2015 11:44;First Class
CASH;2;1;7.140.000.153;2.281.300.049;Late delivery;1;12;Boxing & MMA;Caguas;Puerto Rico;XXXXXXXXX;Susan;8368;Smith;XXXXXXXXX;Corporate;PR;6223 Cotton Forest Estates;725;3;Footwear;182.792.511;-6.637.059.021;LATAM;Buenos Aires;Argentina;8368;5/7/2015 11:44;8666;249;4.672.000.122;0.170000002;21637;5.497.000.122;0.310000002;5;2.748.500.061;2.281.300.049;7.140.000.153;South America;Buenos Aires;CLOSED;;249;12;;http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe;Under Armour Women's Micro G Skulpt Running S;5.497.000.122;0;5/9/2015 11:44;First Class
CASH;1;0;175.999.999;8.798.999.786;Late delivery;1;9;Cardio Equipment;Caguas;Puerto Rico;XXXXXXXXX;Carl;9900;Palmer;XXXXXXXXX;Corporate;PR;3410 Grand Elk Trail;725;3;Footwear;1.825.153.542;-6.637.051.392;LATAM;Buenos Aires;Argentina;9900;2/2/2015 22:01;2256;191;12;0.119999997;5647;9.998.999.786;0.02;1;9.998.999.786;8.798.999.786;175.999.999;South America;Buenos Aires;CLOSED;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;2/3/2015 10:01;Same Day
CASH;1;0;-2.321.999.931;1.234.899.979;Late delivery;1;18;Men's Footwear;Caguas;Puerto Rico;XXXXXXXXX;Tammy;12064;Smith;XXXXXXXXX;Corporate;PR;8219 Wishing Creek Close;725;4;Apparel;1.828.017.044;-6.637.052.155;LATAM;San Justo;Argentina;12064;3/2/2017 16:56;54236;403;6.5;0.050000001;135602;1.299.900.055;-0.189999998;1;1.299.900.055;1.234.899.979;-2.321.999.931;South America;Santa Fe;CLOSED;;403;18;;http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat;Nike Men's CJ Elite 2 TD Football Cleat;1.299.900.055;0;3/3/2017 04:56;Same Day
CASH;1;0;1.008.700.027;387.980.011;Late delivery;1;45;Fishing;Caguas;Puerto Rico;XXXXXXXXX;Carl;9900;Palmer;XXXXXXXXX;Corporate;PR;3410 Grand Elk Trail;725;7;Fan Shop;1.825.153.542;-6.637.051.392;LATAM;Buenos Aires;Argentina;9900;2/2/2015 22:01;2256;1004;12;0.029999999;5646;399.980.011;0.25999999;1;399.980.011;387.980.011;1.008.700.027;South America;Buenos Aires;CLOSED;;1004;45;;http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe;Field & Stream Sportsman 16 Gun Fire Safe;399.980.011;0;2/3/2015 10:01;Same Day
CASH;1;0;2.835.000.038;283.480.011;Late delivery;1;43;Camping & Hiking;Caguas;Puerto Rico;XXXXXXXXX;Carl;9900;Palmer;XXXXXXXXX;Corporate;PR;3410 Grand Elk Trail;725;7;Fan Shop;1.825.153.542;-6.637.051.392;LATAM;Buenos Aires;Argentina;9900;2/2/2015 22:01;2256;957;16.5;0.059999999;5648;299.980.011;0.100000001;1;299.980.011;283.480.011;2.835.000.038;South America;Buenos Aires;CLOSED;;957;43;;http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014;Diamondback Women's Serene Classic Comfort Bi;299.980.011;0;2/3/2015 10:01;Same Day
CASH;1;0;1.043.999.958;260.980.011;Late delivery;1;43;Camping & Hiking;Caguas;Puerto Rico;XXXXXXXXX;Tammy;12064;Smith;XXXXXXXXX;Corporate;PR;8219 Wishing Creek Close;725;7;Fan Shop;1.828.017.044;-6.637.052.155;LATAM;San Justo;Argentina;12064;3/2/2017 16:56;54236;957;39;0.129999995;135601;299.980.011;0.039999999;1;299.980.011;260.980.011;1.043.999.958;South America;Santa Fe;CLOSED;;957;43;;http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014;Diamondback Women's Serene Classic Comfort Bi;299.980.011;0;3/3/2017 04:56;Same Day
CASH;1;0;8.637.999.725;1.799.600.067;Late delivery;1;29;Shop By Sport;Caguas;Puerto Rico;XXXXXXXXX;Tammy;12064;Smith;XXXXXXXXX;Corporate;PR;8219 Wishing Creek Close;725;5;Golf;1.828.017.044;-6.637.052.155;LATAM;San Justo;Argentina;12064;3/2/2017 16:56;54236;627;20;0.100000001;135604;3.999.000.168;0.479999989;5;1.999.499.969;1.799.600.067;8.637.999.725;South America;Santa Fe;CLOSED;;627;29;;http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe;Under Armour Girls' Toddler Spine Surge Runni;3.999.000.168;0;3/3/2017 04:56;Same Day
CASH;1;0;7.030.999.756;187.5;Late delivery;1;24;Women's Apparel;Caguas;Puerto Rico;XXXXXXXXX;Tammy;12064;Smith;XXXXXXXXX;Corporate;PR;8219 Wishing Creek Close;725;5;Golf;1.828.017.044;-6.637.052.155;LATAM;San Justo;Argentina;12064;3/2/2017 16:56;54236;502;62.5;0.25;135603;50;0.379999995;5;250;187.5;7.030.999.756;South America;Santa Fe;CLOSED;;502;24;;http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo;Nike Men's Dri-FIT Victory Golf Polo;50;0;3/3/2017 04:56;Same Day
DEBIT;3;4;2.327.299.957;4.749.500.122;Advance shipping;0;9;Cardio Equipment;Chicago;EE. UU.;XXXXXXXXX;Ethan;10592;Smith;XXXXXXXXX;Consumer;IL;2915 Cotton Meadow;60616;3;Footwear;41.895.607;-8.770.032.501;LATAM;Buenos Aires;Argentina;10592;5/27/2017 22:04;60142;191;25;0.050000001;150513;9.998.999.786;0.49000001;5;4.999.500.122;4.749.500.122;2.327.299.957;South America;Buenos Aires;COMPLETE;;191;9;;http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe;Nike Men's Free 5.0+ Running Shoe;9.998.999.786;0;5/30/2017 22:04;Standard Class
DEBIT;5;4;3.730.000.019;1.867.100.067;Late delivery;1;13;Electronics;San Diego;EE. UU.;XXXXXXXXX;Cheryl;6034;Smith;XXXXXXXXX;Consumer;CA;4291 Dewy Hickory Ramp;92114;3;Footwear;327.514.801;-1.171.934.433;LATAM;San Nicolás de los Arroyos;Argentina;6034;3/13/2017 13:14;54979;278;3.824.000.168;0.170000002;137501;4.499.000.168;0.02;5;2.249.499.969;1.867.100.067;3.730.000.019;South America;Buenos Aires (provincia);COMPLETE;;278;13;;http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide;Under Armour Men's Compression EV SL Slide;4.499.000.168;0;3/18/2017 13:14;Standard Class
DEBIT;5;4;1.003.700.027;2.969.500.122;Late delivery;1;17;Cleats;Houston;EE. UU.;XXXXXXXXX;Mary;5829;Smith;XXXXXXXXX;Consumer;TX;119 Round Vale;77015;4;Apparel;297.805.748;-9.517.199.707;LATAM;Resistencia;Argentina;5829;2/21/2017 13:16;53609;365;3;0.01;133997;5.999.000.168;0.340000004;5;2.999.500.122;2.969.500.122;1.003.700.027;South America;Chaco;COMPLETE;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;2/26/2017 13:16;Standard Class
DEBIT;3;4;5.286.000.061;2.969.500.122;Advance shipping;0;17;Cleats;Beloit;EE. UU.;XXXXXXXXX;William;11575;Smith;XXXXXXXXX;Consumer;WI;5050 Bright Pony Expressway;53511;4;Apparel;4.250.544.357;-8.904.527.283;LATAM;Posadas;Argentina;11575;5/22/2017 14:11;59777;365;3;0.01;149603;5.999.000.168;0.180000007;5;2.999.500.122;2.969.500.122;5.286.000.061;South America;Misiones;COMPLETE;;365;17;;http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck;Perfect Fitness Perfect Rip Deck;5.999.000.168;0;5/25/2017 14:11;Standard Class
